# idQuiz,      time,     date,     title,  note, totalPoints, name
1624963596660, 00:09:18, 12/07/21, entier, 16, 20, me
1624996408166, 00:11:39, 12/07/21, chaine, 20, 20, me
1626024366453, 00:52:43, 12/07/21, introduction, 20, 20, me
1605363047923, 23:45:30, 07/08/21, fonction-2, 9, 20, me
1626024366453, 18:56:38, 13/08/21, introduction, 15, 20, me
1626024366453, 18:58:45, 13/08/21, introduction, 20, 20, me
1626023423776, 19:00:31, 13/08/21, demarche-resolution, 16, 20, me
1626024059053, 19:06:14, 13/08/21, structure-simple, 15, 20, me
1624963596660, 19:09:43, 13/08/21, entier, 16, 20, me
1628875042255, 19:21:42, 13/08/21, reel-booleen-caractere, 20, 20, me
1624996408166, 19:25:59, 13/08/21, chaine, 20, 20, me
1605363047923, 19:37:22, 13/08/21, fonction-2, 12, 20, me
1628884044935, 21:50:35, 13/08/21, fonction, 20, 20, me
1599309459463, 21:53:03, 13/08/21, fonction-1, 20, 20, me
1628885213727, 22:09:29, 13/08/21, fonction, 20, 20, me
1628885213727, 22:14:04, 13/08/21, fonction, 0, 20, me
1599309459463, 22:39:52, 13/08/21, fonction-1, 0, 20, me
1628886887246, 22:49:19, 13/08/21, procedure, 10, 13, me
1628885213727, 23:14:44, 13/08/21, fonction, 0, 20, me
1628889273051, 23:20:21, 13/08/21, fonction, 20, 20, me
1628886887246, 23:21:38, 13/08/21, procedure, 10, 13, me
1628890366299, 23:35:22, 13/08/21, procedure, 16, 20, me
1628889273051, 23:37:05, 13/08/21, fonction, 20, 20, me
1605360367408, 23:39:21, 13/08/21, undefined, 20, 20, me
1605360367408, 23:44:53, 13/08/21, undefined, 20, 20, me
1605360580136, 23:47:33, 13/08/21, si-generalisee, 20, 20, me
1605361285392, 00:00:22, 14/08/21, for, 17, 20, me
1605361285392, 00:03:04, 14/08/21, for, 20, 20, me
1605362096034, 00:05:32, 14/08/21, while, 20, 20, me
1605360580136, 00:09:42, 14/08/21, si-generalisee, 0, 20, me
1628892875043, 00:19:01, 14/08/21, if-selon, 20, 20, me